customer_id,name,country,signup_date
1800,Hari Shrestha,DE,2021-02-19
7709,Rohan Basnet,AU,2024-02-27
3896,Priya KC,NP,2021-11-11
8281,Kiran Thapa,NP,2024-02-21
3299,Rohan Basnet,US,2020-02-18
7774,Aarav Joshi,IN,2024-01-02
3547,Bibek Basnet,NP,2025-05-19
823,Hari Magar,NP,2023-01-19
3332,Anju Joshi,GB,2023-02-24
5772,Priya Adhikari,NP,2022-08-15
7656,Maya Joshi,NP,2023-05-12
6616,Kiran Gurung,NP,2022-12-19
2693,Priya Magar,JP,2021-12-14
9628,Suman Sharma,BR,2020-08-21
4004,Aarav Rai,IN,2023-02-18
4947,Hari Adhikari,NP,2020-11-30
5234,Hari Tamang,DE,2025-05-26
623,Nisha Karki,AU,2020-11-01
8573,Maya KC,AU,2025-06-28
995,Hari Thapa,US,2020-05-11
6308,Kiran Karki,NP,2021-02-15
8981,Anju Joshi,NP,2023-10-30
1632,Mina Magar,US,2022-04-16
1191,Rohan Sharma,NP,2022-06-09
8462,Sanjay Magar,NP,2024-08-17
7763,Rohan Magar,US,2025-05-29
4369,Nisha KC,AU,2024-03-23
1225,Aarav Thapa,US,2023-11-08
24,Nisha Magar,NP,2023-08-29
7625,Sita Shrestha,NP,2020-03-14
3688,Nisha Tamang,NP,2023-08-08
2046,Gita Magar,US,2024-01-16
452,Sanjay Magar,NP,2023-08-22
2555,Bibek Karki,US,2020-01-21
9874,Rita Magar,NP,2022-09-13
886,Aarav Gurung,AU,2024-01-05
4328,Aarav Rai,IN,2022-06-05
5844,Sita Basnet,JP,2024-09-30
874,Rita Karki,NP,2020-01-23
828,Aarav Basnet,NP,2025-01-07
5498,Rohan Gurung,NP,2022-08-11
3228,Sita Rai,NP,2022-04-30
5042,Anju Tamang,IN,2020-12-10
9150,Sanjay KC,BR,2022-01-29
4403,Sita Basnet,NP,2021-01-01
625,Hari Karki,IN,2025-02-22
615,Maya Gurung,NP,2020-11-09
2031,Suman Adhikari,NP,2025-04-24
1620,Priya Thapa,NP,2022-03-19
4624,Hari Rai,NP,2025-05-13
8920,Gita KC,US,2022-09-09
437,Maya Thapa,BR,2023-07-02
3515,Kiran Basnet,NP,2020-01-01
5174,Bibek Basnet,US,2022-03-09
5504,Dipesh Thapa,DE,2021-07-31
3012,Bibek Joshi,JP,2021-02-03
5187,Maya Basnet,NP,2021-03-21
3448,Nisha Sharma,IN,2021-02-02
3865,Maya KC,JP,2024-01-01
451,Aarav Gurung,GB,2021-05-05
6673,Rohan KC,IN,2022-04-11
4479,Dipesh Shrestha,NP,2024-07-25
3257,Anju Shrestha,US,2024-03-17
9446,Priya Joshi,NP,2022-09-04
3759,Dipesh Gurung,NP,2020-09-12
5863,Rohan Rai,IN,2022-11-30
1463,Gita Karki,IN,2021-03-07
404,Rohan Magar,NP,2023-04-23
7154,Kiran Gurung,NP,2021-04-20
4532,Sita Joshi,NP,2021-10-20
8405,Mina Basnet,IN,2021-02-25
1162,Maya Joshi,AU,2025-03-26
132,Bibek Shrestha,NP,2022-11-17
4979,Rita Joshi,US,2020-08-17
6076,Sanjay Shrestha,US,2024-09-11
5685,Sanjay Tamang,GB,2024-06-11
2170,Gita Joshi,NP,2023-01-06
5370,Kiran Thapa,US,2024-10-05
4358,Aarav Shrestha,NP,2022-04-06
9928,Rohan Adhikari,NP,2023-09-22
5878,Mina Joshi,IN,2020-06-25
405,Aarav Joshi,NP,2022-05-14
6254,Priya KC,NP,2023-07-07
6986,Rohan Shrestha,US,2020-06-29
9580,Hari Gurung,GB,2024-02-10
8331,Gita KC,GB,2020-10-10
4736,Anju Thapa,NP,2021-09-22
7289,Priya Sharma,AU,2024-01-31
6240,Nisha Gurung,NP,2023-02-21
1880,Rohan Joshi,NP,2024-01-02
7661,Maya KC,JP,2020-06-21
1637,Dipesh Gurung,NP,2021-07-07
4231,Anju KC,NP,2022-07-31
4829,Rita Joshi,JP,2024-07-17
8383,Nisha Basnet,GB,2025-01-30
5994,Nisha Magar,NP,2025-06-02
7112,Anju Sharma,JP,2024-07-19
6511,Hari Gurung,IN,2022-10-22
7721,Bibek Tamang,NP,2021-06-16
8989,Maya Sharma,NP,2021-04-09
7261,Dipesh Thapa,IN,2023-03-05
4671,Hari Sharma,NP,2021-05-14
3417,Anju Adhikari,US,2025-01-14
5284,Rita Tamang,NP,2020-01-31
4605,Suman Joshi,AU,2020-09-26
2358,Anju Shrestha,NP,2023-08-24
4364,Priya Tamang,JP,2024-09-11
3816,Priya Magar,NP,2021-02-07
3908,Gita Gurung,NP,2025-04-24
2062,Mina Gurung,JP,2022-10-30
8230,Aarav Tamang,BR,2021-05-30
6259,Kiran Gurung,NP,2024-05-19
1323,Maya Magar,US,2025-01-10
6316,Maya Basnet,BR,2021-06-10
